Time resolution is 1 ps
Cycle: RESET
Cycle: RESET
Cycle 25000 | Commit0=0 rd=0 prd=0 | Commit1=0 rd=0 prd=0
Cycle 35000 | Commit0=0 rd=0 prd=0 | Commit1=0 rd=0 prd=0
Cycle 45000 | Commit0=0 rd=0 prd=0 | Commit1=0 rd=0 prd=0
Cycle 55000 | Commit0=0 rd=0 prd=0 | Commit1=0 rd=0 prd=0
Cycle 65000 | Commit0=0 rd=0 prd=0 | Commit1=0 rd=0 prd=0
Cycle 75000 | Commit0=0 rd=0 prd=0 | Commit1=0 rd=0 prd=0
Cycle 85000 | Commit0=0 rd=0 prd=0 | Commit1=0 rd=0 prd=0
Cycle 95000 | Commit0=0 rd=0 prd=0 | Commit1=0 rd=0 prd=0
Cycle 105000 | Commit0=0 rd=0 prd=0 | Commit1=0 rd=0 prd=0
Cycle 115000 | Commit0=0 rd=0 prd=0 | Commit1=0 rd=0 prd=0
Cycle 125000 | Commit0=0 rd=0 prd=0 | Commit1=0 rd=0 prd=0
Cycle 135000 | Commit0=0 rd=0 prd=0 | Commit1=0 rd=0 prd=0
Cycle 145000 | Commit0=0 rd=0 prd=0 | Commit1=0 rd=0 prd=0
Cycle 155000 | Commit0=0 rd=0 prd=0 | Commit1=0 rd=0 prd=0
Cycle 165000 | Commit0=1 rd=1 prd=32 | Commit1=0 rd=0 prd=0
Cycle 175000 | Commit0=1 rd=2 prd=33 | Commit1=0 rd=0 prd=0
Cycle 185000 | Commit0=1 rd=3 prd=34 | Commit1=0 rd=0 prd=0
Cycle 195000 | Commit0=0 rd=0 prd=0 | Commit1=0 rd=0 prd=0
Cycle 205000 | Commit0=0 rd=0 prd=0 | Commit1=0 rd=0 prd=0
Cycle 215000 | Commit0=0 rd=0 prd=0 | Commit1=0 rd=0 prd=0
Cycle 225000 | Commit0=0 rd=0 prd=0 | Commit1=0 rd=0 prd=0
Cycle 235000 | Commit0=1 rd=4 prd=35 | Commit1=0 rd=0 prd=0
Cycle 245000 | Commit0=1 rd=5 prd=36 | Commit1=0 rd=0 prd=0
Cycle 255000 | Commit0=1 rd=6 prd=37 | Commit1=0 rd=0 prd=0
Cycle 265000 | Commit0=1 rd=7 prd=38 | Commit1=0 rd=0 prd=0
Cycle 275000 | Commit0=1 rd=8 prd=39 | Commit1=0 rd=0 prd=0
Cycle 285000 | Commit0=1 rd=9 prd=40 | Commit1=0 rd=0 prd=0
Cycle 295000 | Commit0=1 rd=10 prd=41 | Commit1=0 rd=0 prd=0
Cycle 305000 | Commit0=1 rd=11 prd=42 | Commit1=0 rd=0 prd=0
Cycle 315000 | Commit0=1 rd=12 prd=43 | Commit1=0 rd=0 prd=0
Cycle 325000 | Commit0=1 rd=13 prd=1 | Commit1=0 rd=0 prd=0
Cycle 335000 | Commit0=1 rd=14 prd=2 | Commit1=0 rd=0 prd=0
Cycle 345000 | Commit0=1 rd=15 prd=3 | Commit1=0 rd=0 prd=0
Cycle 355000 | Commit0=1 rd=16 prd=44 | Commit1=0 rd=0 prd=0
Cycle 365000 | Commit0=1 rd=17 prd=45 | Commit1=0 rd=0 prd=0
